Srial_No.,Symbol,Company Name,"Market Capitalisation in Lakh"
1339,SHAIVAL,Shaival Reality Limited,"3,715",
1340,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,"3,708",
1341,RUCHINFRA,Ruchi Infrastructure Limited,"3,694",
1342,SUPREMEENG,Supreme Engineering Limited,"3,662",
1343,WIPL,The Western India Plywoods Limited,"3,650",
1344,DEVIT,Dev Information Technology Limited,"3,644",
1345,MINDTECK,Mindteck (India) Limited,"3,638",
1346,RHFL,Reliance Home Finance Limited,"3,634",
1347,SOFTTECH,Softtech Engineers Limited,"3,609",
1348,WEBELSOLAR,Websol Energy System Limited,"3,599",
1349,AUSOMENT,Ausom Enterprise Limited,"3,590",
1350,ISMTLTD,ISMT Limited,"3,589",
1351,LYKALABS,Lyka Labs Limited,"3,586",
1352,SICAGEN,Sicagen India Limited,"3,581",
1353,BAGFILMS,B.A.G Films and Media Limited,"3,559",
1354,HEXATRADEX,Hexa Tradex Limited,"3,536",
1355,BYKE,The Byke Hospitality Ltd,"3,529",
1356,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,"3,506",
1357,ROLTA,Rolta India Limited,"3,484",
1358,GOLDENTOBC,Golden Tobacco Limited,"3,469",
1359,IVP,IVP Limited,"3,433",
1360,MACPOWER,Macpower CNC Machines Limited,"3,433",
1361,MDL,Marvel Decor Limited,"3,408",
1362,ARCHIDPLY,Archidply Industries Limited,"3,398",
1363,VIPCLOTHNG,VIP Clothing Limited,"3,386",
1364,KHFM,Khfm Hospitality And Facility Management Services Limited,"3,385",
1365,JHS,JHS Svendgaard Laboratories Limited,"3,363",
1366,AAKASH,Aakash Exploration Services Limited,"3,356",
1367,SOUTHWEST,South West Pinnacle Exploration Limited,"3,320",
1368,VINNY,Vinny Overseas Limited,"3,301",
1369,PRAENG,Prajay Engineers Syndicate Limited,"3,287",
1370,ONEPOINT,One Point One Solutions Limited,"3,285",
1371,KWALITY,kwality limited,"3,258",
1372,SURANAT&P,Surana Telecom and Power Limited,"3,258",
1373,GSS,GSS Infotech Limited,"3,226",
1374,BEDMUTHA,Bedmutha Industries Limited,"3,226",
1375,INTENTECH,Intense Technologies Limited,"3,223",
1376,KALYANIFRG,Kalyani Forge Limited,"3,201",
1377,ARTNIRMAN,Art Nirman Limited,"3,196",
1378,AURDIS,Aurangabad Distillery Limited,"3,194",
1379,RAMASTEEL,Rama Steel Tubes Limited,"3,191",
1380,CORDSCABLE,Cords Cable Industries Limited,"3,167",
1381,LSIL,Lloyds Steels Industries Limited,"3,144",
1382,AARVI,Aarvi Encon Limited,"3,134",
1383,VISASTEEL,Visa Steel Limited,"3,126",
1384,AMBANIORG,Ambani Organics Limited,"3,106",
1385,AVG,AVG Logistics Limited,"3,089",
1386,PRESSMN,Pressman Advertising Limited,"3,088",
1387,ISFT,Intrasoft Technologies Limited,"3,086",
1388,VIKASECO,Vikas EcoTech Limited,"3,079",
1389,SECL,Salasar Exteriors and Contour Limited,"3,047",
1390,RSSOFTWARE,R. S. Software (India) Limited,"3,034",
1391,GROBTEA,The Grob Tea Company Limited,"3,013",
1392,CMICABLES,CMI Limited,"2,998",
1393,SUNDARAM,Sundaram Multi Pap Limited,"2,988",
1394,MKPL,M K Proteins Limited,"2,978",
1395,REMSONSIND,Remsons Industries Limited,"2,977",
1396,ARCHIES,Archies Limited,"2,973",
1397,OISL,OCL Iron and Steel Limited,"2,951",
1398,CCHHL,Country Club Hospitality & Holidays Limited,"2,942",
1399,ALPA,Alpa Laboratories Limited,"2,914",
1400,HOVS,HOV Services Limited,"2,883",
1401,AROGRANITE,Aro Granite Industries Limited,"2,876",
1402,PUNJLLOYD,Punj Lloyd Limited,"2,853",
1403,COMPUSOFT,Compucom Software Limited,"2,849",
1404,CIMMCO,Cimmco Limited,"2,844",
1405,MBLINFRA,MBL Infrastructures Limited,"2,828",
1406,MOKSH,Moksh Ornaments Limited,"2,817",
1407,MORARJEE,Morarjee Textiles Limited,"2,816",
1408,CINEVISTA,Cinevista Limited,"2,814",
1409,TIRUPATIFL,Tirupati Forge Limited,"2,776",
1410,ROLLT,Rollatainers Limited,"2,751",
1411,CTE,Cambridge Technology Enterprises Limited,"2,739",
1412,LOKESHMACH,Lokesh Machines Limited,"2,720",
1413,TOTAL,Total Transport Systems Limited,"2,718",
1414,VENUSREM,Venus Remedies Limited,"2,715",
1415,ASCOM,Ascom Leasing & Investments Limited,"2,714",
1416,STEELCITY,Steel City Securities Limited,"2,712",
1417,SILGO,Silgo Retail Limited,"2,700",
1418,OPAL,Opal Luxury Time Products Limited,"2,687",
1419,RELIABLE,Reliable Data Services Limited,"2,683",
1420,SURANASOL,Surana Solar Limited,"2,682",
1421,AUTOIND,Autoline Industries Limited,"2,635",
1422,GLOBE,Globe Textiles (India) Limited,"2,620",
1423,ARVEE,Arvee Laboratories (India) Limited,"2,590",
1424,PRECOT,Precot Meridian Limited,"2,574",
1425,SILLYMONKS,Silly Monks Entertainment Limited,"2,573",
1426,DUCON,Ducon Infratechnologies Limited,"2,565",
1427,FCSSOFT,FCS Software Solutions Limited,"2,564",
1428,TARMAT,Tarmat Limited,"2,559",
1429,ALKALI,Alkali Metals Limited,"2,556",
1430,SARVESHWAR,Sarveshwar Foods Limited,"2,518",
1431,PRITI,Priti International Limited,"2,517",
1432,DCM,DCM  Limited,"2,503",
1433,DBSTOCKBRO,DB (International) Stock Brokers Limited,"2,450",
1434,DGCONTENT,Digicontent Limited,"2,444",
1435,GOLDSTAR,Goldstar Power Limited,"2,423",
1436,BANKA,Banka BioLoo Limited,"2,410",
1437,SURYALAXMI,Suryalakshmi Cotton Mills Limited,"2,409",
1438,HECPROJECT,HEC Infra Projects Limited,"2,398",
1439,SAMBHAAV,Sambhaav Media Limited,"2,389",
1440,RMCL,Radha Madhav Corporation Limited,"2,374",
1441,BHARATGEAR,Bharat Gears Limited,"2,373",
1442,AIROLAM,Airo Lam limited,"2,370",
1443,GAMMNINFRA,Gammon Infrastructure Projects Limited,"2,355",
1444,DCI,DC Infotech and Communication Limited,"2,340",
1445,MEGASOFT,Megasoft Limited,"2,324",
1446,TIRUPATI,Shree Tirupati Balajee FIBC Limited,"2,310",
1447,IL&FSENGG,IL&FS Engineering and Construction Company Limited,"2,295",
1448,ARSSINFRA,ARSS Infrastructure Projects Limited,"2,274",
1449,SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited,"2,266",
1450,CONTI,Continental Seeds and Chemicals Limited,"2,266",
1451,HISARMETAL,Hisar Metal Industries Limited,"2,230",
1452,SHRADHA,Shradha Infraprojects Limited,"2,218",
1453,ATLANTA,Atlanta  Limited,"2,201",
1454,INDBANK,Indbank Merchant Banking Services Limited,"2,197",
1455,MANUGRAPH,Manugraph India Limited,"2,190",
1456,GARDENSILK,Garden Silk Mills Limited,"2,188",
1457,AKG,Akg Exim Limited,"2,185",
1458,PEARLPOLY,Pearl Polymers Limited,"2,180",
1459,SHREERAMA,Shree Rama Multi-Tech Limited,"2,180",
1460,GODHA,Godha Cabcon & Insulation Limited,"2,176",
1461,NEXTMEDIA,Next Mediaworks Limited,"2,174",
1462,SUPREMEINF,Supreme Infrastructure India Limited,"2,172",
1463,TEXMOPIPES,Texmo Pipes and Products Limited,"2,171",
1464,AARON,Aaron Industries Limited,"2,162",
1465,GANGESSECU,Ganges Securities Limited,"2,161",
1466,ADLABS,Adlabs Entertainment Limited,"2,158",
1467,KOHINOOR,Kohinoor Foods Limited,"2,150",
1468,PKTEA,The Peria Karamalai Tea & Produce Company Limited,"2,121",
1469,KEYFINSERV,Keynote Financial Services Limited,"2,116",
1470,BCONCEPTS,Brand Concepts Limited,"2,090",
1471,MCLEODRUSS,Mcleod Russel India Limited,"2,089",
1472,KSERASERA,KSS Limited,"2,079",
1473,MHHL,Mohini Health & Hygiene Limited,"2,079",
1474,FOCUS,Focus Lighting and Fixtures Limited,"2,078",
1475,ACCURACY,Accuracy Shipping Limited,"2,063",
1476,SANGHVIFOR,Sanghvi Forging and Engineering Limited,"2,063",
1477,ASAL,Automotive Stampings and Assemblies Limited,"2,062",
1478,SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,"2,051",
1479,KEERTI,Keerti Knowledge and Skills Limited,"2,050",
1480,ENERGYDEV,Energy Development Company Limited,"2,043",
1481,KGL,Karuturi Global Limited,"2,039",
1482,AMDIND,AMD Industries Limited,"2,022",
1483,DHARSUGAR,Dharani Sugars & Chemicals Limited,"2,009",
1484,MMNL,MIG Media Neurons Limited,"2,000",
1485,SUREVIN,Surevin BPO Services Limited,"1,992",
1486,GAL,Gyscoal Alloys Limited,"1,978",
1487,NILASPACES,Nila Spaces Limited,"1,969",
1488,E2E,E2E Networks Limited,"1,958",
1489,BANARBEADS,Banaras Beads Limited,"1,954",
1490,KSHITIJPOL,Kshitij Polyline Limited,"1,945",
1491,BRIGHT,Bright Solar Limited,"1,938",
1492,PAR,Par Drugs and Chemicals Limited,"1,938",
1493,SALONA,Salona Cotspin Limited,"1,934",
1494,AVSL,AVSL Industries Limited,"1,919",
1495,ATLASCYCLE,Atlas Cycles (Haryana) Limited,"1,919",
1496,BSL,BSL Limited,"1,914",
1497,BEARDSELL,Beardsell Limited,"1,911",
1498,SHIVAMILLS,Shiva Mills Limited,"1,901",
1499,MAANALU,Maan Aluminium Limited,"1,900",
1500,SPMLINFRA,SPML Infra Limited,"1,887",
1501,XPROINDIA,Xpro India Limited,"1,878",
1502,SURANI,Surani Steel Tubes Limited,"1,872",
1503,LAMBODHARA,Lambodhara Textiles Limited,"1,868",
1504,AARVEEDEN,Aarvee Denims & Exports Limited,"1,865",
1505,INDOSOLAR,Indosolar Limited,"1,860",
1506,PALASHSECU,Palash Securities Limited,"1,846",
1507,ANIKINDS,Anik Industries Limited,"1,818",
1508,CELEBRITY,Celebrity Fashions Limited,"1,815",
1509,MERCATOR,Mercator Limited,"1,815",
1510,GTL,GTL Limited,"1,809",
1511,NECCLTD,North Eastern Carrying Corporation Limited,"1,757",
1512,SIMBHALS,Simbhaoli Sugars Limited,"1,754",
1513,DELTAMAGNT,Delta Manufacturing Limited,"1,747",
1514,UCL,Ushanti Colour Chem Limited,"1,745",
1515,PATINTLOG,Patel Integrated Logistics Limited,"1,736",
1516,SERVOTECH,Servotech Power Systems Limited,"1,730",
1517,ZENITHEXPO,Zenith Exports Limited,"1,724",
1518,MCDHOLDING,McDowell Holdings Limited,"1,707",
1519,MANAKALUCO,Manaksia Aluminium Company Limited,"1,704",
1520,AISL,ANI Integrated Services Limited,"1,700",
1521,AVROIND,AVRO INDIA LIMITED,"1,699",
1522,BLBLIMITED,BLB Limited,"1,692",
1523,TERASOFT,Tera Software Limited,"1,683",
1524,MADHAV,Madhav Marbles and Granites Limited,"1,682",
1525,METALFORGE,Metalyst Forgings Limited,"1,677",
1526,SHIRPUR-G,Shirpur Gold Refinery Limited,"1,675",
1527,BVCL,Barak Valley Cements Limited,"1,673",
1528,KERNEX,Kernex Microsystems (India) Limited,"1,669",
1529,SHANTI,Shanti Overseas (India) Limited,"1,666",
1530,ANSALHSG,Ansal Housing Limited,"1,663",
1531,LATTEYS,Latteys Industries Limited,"1,656",
1532,MANAKCOAT,Manaksia Coated Metals & Industries Limited,"1,638",
1533,RAJMET,Rajnandini Metal Limited,"1,616",
1534,INDOWIND,Indowind Energy Limited,"1,615",
1535,GICL,Globe International Carriers Limited,"1,608",
1536,ARTEDZ,Artedz Fabs Limited,"1,601",
1537,NARMADA,Narmada Agrobase Limited,"1,592",
1538,KHANDSE,Khandwala Securities Limited,"1,582",
1539,ABMINTLTD,ABM International Limited,"1,582",
1540,BANG,Bang Overseas Limited,"1,573",
1541,SGL,STL Global Limited,"1,565",
1542,ORIENTALTL,Oriental Trimex Limited,"1,540",
1543,SALSTEEL,S.A.L. Steel Limited,"1,529",
1544,SRIRAM,Shri Ram Switchgears Limited,"1,512",
1545,FOURTHDIM,Fourth Dimension Solutions Limited,"1,503",
1546,SELMCL,SEL Manufacturing Company Limited,"1,491",
1547,KSK,KSK Energy Ventures Limited,"1,484",
1548,IZMO,IZMO Limited,"1,477",
1549,GOLDTECH,Goldstone Technologies Limited,"1,465",
1550,SSINFRA,S.S. Infrastructure Development Consultants Limited,"1,452",
1551,KKVAPOW,KKV Agro Powers Limited,"1,451",
1552,MILTON,Milton Industries Limited,"1,445",
1553,UNIINFO,Uniinfo Telecom Services Limited,"1,444",
1554,JETFREIGHT,Jet Freight Logistics Limited,"1,433",
1555,JYOTISTRUC,Jyoti Structures Limited,"1,424",
1556,CNOVAPETRO,CIL Nova Petrochemicals Limited,"1,423",
1557,OILCOUNTUB,Oil Country Tubular Limited,"1,417",
1558,PROLIFE,Prolife Industries Limited,"1,406",
1559,AVENTUS,Aventus Buildcon Limited,"1,393",
1560,INDOTHAI,Indo Thai Securities Limited,"1,375",
1561,DSSL,Dynacons Systems & Solutions Limited,"1,371",
1562,AHIMSA,Ahimsa Industries Limited,"1,368",
1563,CENTEXT,Century Extrusions Limited,"1,360",
1564,TREEHOUSE,Tree House Education & Accessories Limited,"1,354",
1565,GLOBAL,Global Education Limited,"1,347",
1566,LAGNAM,Lagnam Spintex Limited,"1,343",
1567,CADSYS,Cadsys (India) Limited,"1,332",
1568,MANGTIMBER,Mangalam Timber Products Limited,"1,329",
1569,TMRVL,The Mandhana Retail Ventures Limited,"1,314",
1570,NIBL,NRB Industrial Bearings Limited,"1,308",
1571,SUMEETINDS,Sumeet Industries Limited,"1,296",
1572,RMDRIP,R M Drip and Sprinklers Systems Limited,"1,288",
1573,KARMAENG,Karma Energy Limited,"1,284",
1574,AUTOLITIND,Autolite (India) Limited,"1,280",
1575,INFOMEDIA,Infomedia Press Limited,"1,280",
1576,UWCSL,Ultra Wiring Connectivity System Limited,"1,267",
1577,TIMESGTY,Times Guaranty Limited,"1,259",
1578,PERFECT,Perfect Infraengineers Limited,"1,258",
1579,KANANIIND,Kanani Industries Limited,"1,237",
1580,CUBEXTUB,Cubex Tubings Limited,"1,224",
1581,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,"1,221",
1582,LAXMICOT,Laxmi Cotspin Limited,"1,209",
1583,MARSHALL,Marshall Machines Limited,"1,208",
1584,VCL,Vaxtex Cotfab Limited,"1,205",
1585,MAGNUM,Magnum Ventures Limited,"1,203",
1586,LFIC,Lakshmi Finance & Industrial Corporation Limited,"1,199",
1587,ZODJRDMKJ,Zodiac JRD- MKJ Limited,"1,191",
1588,ORTINLABSS,Ortin Laboratories Limited,"1,186",
1589,MADHUCON,Madhucon Projects Limited,"1,181",
1590,AGRITECH,Agri-Tech (India) Limited,"1,179",
1591,EON,Eon Electric Limited,"1,175",
1592,INDSWFTLTD,Ind-Swift Limited,"1,165",
1593,EDUCOMP,Educomp Solutions Limited,"1,163",
1594,AGROPHOS,Agro Phos India Limited,"1,156",
1595,SUPERSPIN,Super Spinning Mills Limited,"1,155",
1596,SOMICONVEY,Somi Conveyor Beltings Limited,"1,154",
1597,ABINFRA,A B Infrabuild Limited,"1,147",
1598,SKSTEXTILE,SKS Textiles Limited,"1,144",
1599,LPDC,Landmark Property Development Company Limited,"1,140",
1600,KRIDHANINF,Kridhan Infra Limited,"1,137",
1601,CASTEXTECH,Castex Technologies Limited,"1,134",
1602,21STCENMGM,21st Century Management Services Limited,"1,134",
1603,INNOVATIVE,Innovative Tyres and Tubes Limited,"1,133",
1604,HINDCON,Hindcon Chemicals Limited,"1,126",
1605,TIJARIA,Tijaria Polypipes Limited,"1,116",
1606,LEXUS,Lexus Granito (India) Limited,"1,103",
1607,BHANDARI,Bhandari Hosiery Exports Limited,"1,099",
1608,CKPPRODUCT,CKP Products Limited,"1,092",
1609,WILLAMAGOR,Williamson Magor & Company Limited,"1,079",
1610,PNC,Pritish Nandy Communications Limited,"1,078",
1611,ADROITINFO,Adroit Infotech Limited,"1,069",
1612,SIKKO,Sikko Industries Limited,"1,064",
1613,NAGREEKEXP,Nagreeka Exports Limited,"1,062",
1614,BILENERGY,Bil Energy Systems Limited,"1,057",
1615,RKDL,Ravi Kumar Distilleries Limited,"1,032",
1616,NITINFIRE,Nitin Fire Protection Industries Limited,"1,023",
1617,POWERFUL,Powerful Technologies Limited,"1,017",
1618,JETKNIT,Jet Knitwears Limited,"1,011",
1619,SHAHALLOYS,Shah Alloys Limited,"1,010",
1620,CCCL,Consolidated Construction Consortium Limited,996,
1621,MIC,MIC Electronics Limited,991,
1622,ACEINTEG,Ace Integrated Solutions Limited,983,
1623,COX&KINGS,Cox & Kings Limited,971,
1624,PALREDTEC,Palred Technologies Limited,968,
1625,SOLEX,Solex Energy Limited,968,
1626,CALSOFT,California Software Company Limited,958,
1627,SECURCRED,SecUR Credentials Limited,956,
1628,ARIHANT,Arihant Foundations & Housing Limited,955,
1629,DIAPOWER,Diamond Power Infra Ltd,944,
1630,GANGAFORGE,Ganga Forging Limited,914,
1631,STINDIA,STI India Limited,914,
1632,CMMIPL,CMM Infraprojects Limited,901,
1633,ARCOTECH,Arcotech Limited,893,
1634,GTNIND,GTN Industries Limited,886,
1635,CROWN,Crown Lifters Limited,874,
1636,HILTON,Hilton Metal Forging Limited,871,
1637,MUKANDENGG,Mukand Engineers Limited,855,
1638,S&SPOWER,S&S Power Switchgears Limited,853,
1639,JITFINFRA,JITF Infralogistics Limited,848,
1640,EXCEL,Excel Realty N Infra Limited,846,
1641,ZODIAC,Zodiac Energy Limited,845,
1642,ABNINT,A B N Intercorp Limited,839,
1643,BALKRISHNA,Balkrishna Paper Mills Limited,838,
1644,INDLMETER,IMP Powers Limited,833,
1645,ASLIND,ASL Industries Limited,828,
1646,JINDALPHOT,Jindal Photo Limited,826,
1647,VSCL,Vadivarhe Speciality Chemicals Limited,824,
1648,FLEXITUFF,Flexituff Ventures International Limited,809,
1649,STAMPEDE,Stampede Capital Limited,802,
1650,DQE,DQ Entertainment (International) Limited,793,
1651,GOENKA,Goenka Diamond and Jewels Limited,793,
1652,LYPSAGEMS,Lypsa Gems & Jewellery Limited,767,
1653,NANDANI,Nandani Creation Limited,760,
1654,MPTODAY,Madhya Pradesh Today Media Limited,754,
1655,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,752,
1656,VARDMNPOLY,Vardhman Polytex Limited,747,
1657,DIGJAMLTD,Digjam Limited,745,
1658,PATSPINLTD,Patspin India Limited,742,
1659,VASWANI,Vaswani Industries Limited,735,
1660,SHYAMTEL,Shyam Telecom Limited,733,
1661,SANCO,Sanco Industries Limited,715,
1662,PARABDRUGS,Parabolic Drugs Limited,712,
1663,EUROTEXIND,Eurotex Industries and Exports Limited,704,
1664,GLOBOFFS,Global Offshore Services Limited,692,
1665,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,691,
1666,SPYL,Shekhawati Poly-Yarn Limited,689,
1667,TREJHARA,TREJHARA SOLUTIONS LIMITED,685,
1668,JALAN,Jalan Transolutions (India) Limited,683,
1669,NIRAJISPAT,Niraj Ispat Industries Limited,672,
1670,SEPOWER,S.E. Power Limited,670,
1671,GTNTEX,GTN Textiles Limited,669,
1672,HUSYSLTD,Husys Consulting Limited,650,
1673,3PLAND,3P Land Holdings Limited,639,
1674,SATHAISPAT,Sathavahana Ispat Limited,636,
1675,TGBHOTELS,TGB Banquets And Hotels Limited,630,
1676,MOHOTAIND,Mohota Industries Limited,625,
1677,FELIX,Felix Industries Limited,624,
1678,BSELINFRA,BSEL Infrastructure Realty Limited,620,
1679,SOMATEX,Soma Textiles & Industries Limited,611,
1680,BURNPUR,Burnpur Cement Limited,603,
1681,PULZ,Pulz Electronics Limited,600,
1682,GAYAHWS,Gayatri Highways Limited,599,
1683,PIGL,Power & Instrumentation (Gujarat) Limited,599,
1684,KALYANI,Kalyani Commercials Limited,597,
1685,RADAAN,Radaan Mediaworks India Limited,596,
1686,NKIND,NK Industries Limited,592,
1687,VIVIDHA,Visagar Polytex Limited,585,
1688,COUNCODOS,Country Condo's Limited,582,
1689,ANKITMETAL,Ankit Metal & Power Limited,564,
1690,TCIFINANCE,TCI Finance Limited,554,
1691,EASTSILK,Eastern Silk Industries Limited,553,
1692,BLUECOAST,Blue Coast Hotels Limited,535,
1693,NATNLSTEEL,National Steel And Agro Industries Limited,534,
1694,EASUNREYRL,Easun Reyrolle Limited,524,
1695,SEZAL,Sezal Glass Limited,520,
1696,AMJUMBO,A and M Jumbo Bags Limited,515,
1697,EDL,Empee Distilleries Limited,514,
1698,TFL,Transwarranty Finance Limited,514,
1699,DRL,Dhanuka Realty Limited,510,
1700,MINDPOOL,Mindpool Technologies Limited,509,
1701,NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,505,
1702,OMKARCHEM,Omkar Speciality Chemicals Limited,504,
1703,SETUINFRA,Setubandhan Infrastructure Limited,503,
1704,MOHITIND,Mohit Industries Limited,481,
1705,ONELIFECAP,Onelife Capital Advisors Limited,481,
1706,TECHNOFAB,Technofab Engineering Limited,477,
1707,BHALCHANDR,Bhalchandram Clothing Limited,476,
1708,AJOONI,Ajooni Biotech Limited,468,
1709,UNITEDPOLY,United Polyfab Gujarat Limited,464,
1710,PUSHPREALM,Pushpanjali Realms and Infratech Limited,461,
1711,SMPL,Splendid Metal Products Limited,452,
1712,ACCORD,Accord Synergy Limited,443,
1713,GFSTEELS,Grand Foundry Limited,441,
1714,SPCENET,Spacenet Enterprises India Limited,441,
1715,SABTN,Sri Adhikari Brothers Television Network Limited,437,
1716,HBSL,HB Stockholdings Limited,435,
1717,CKPLEISURE,CKP Leisure Limited,429,
1718,JVLAGRO,JVL Agro Industries Limited,420,
1719,NORBTEAEXP,Norben Tea & Exports Limited,417,
1720,MASKINVEST,Mask Investments Limited,412,
1721,GUJRAFFIA,Gujarat Raffia Industries Limited,411,
1722,ROHITFERRO,Rohit Ferro-Tech Limited,398,
1723,PREMIER,Premier Limited,395,
1724,ZENITHBIR,Zenith Birla (India) Limited,394,
1725,ARENTERP,Rajdarshan Industries Limited,393,
1726,ZICOM,Zicom Electronic Security Systems Limited,392,
1727,GLFL,Gujarat Lease Financing Limited,380,
1728,PSL,PSL Limited,375,
1729,VASA,Vasa Retail and Overseas Ltd,375,
1730,DSML,Debock Sales And Marketing Limited,370,
1731,TVVISION,TV Vision Limited,367,
1732,CHROMATIC,Chromatic India Limited,355,
1733,DNAMEDIA,Diligent Media Corporation Limited,353,
1734,SMVD,SMVD Poly Pack Limited,353,
1735,THIRUSUGAR,Thiru Arooran Sugars Limited,351,
1736,WSI,W S Industries (I) Limited,341,
1737,OMFURN,Omfurn India Limited,341,
1738,TALWALKARS,Talwalkars Better Value Fitness Limited,326,
1739,MANAV,Manav Infra Projects Limited,321,
1740,VICEROY,Viceroy Hotels Limited,318,
1741,BAFNAPH,Bafna Pharmaceuticals Limited,315,
1742,MELSTAR,Melstar Information Technologies Limited,314,
1743,IMPEXFERRO,Impex Ferro Tech Limited,308,
1744,EMCO,Emco Limited,306,
1745,CREATIVEYE,Creative Eye Limited,301,
1746,ALPSINDUS,Alps Industries Limited,293,
1747,TECHIN,Techindia Nirman Limited,287,
1748,CANDC,C & C Constructions Limited,280,
1749,TNTELE,Tamilnadu Telecommunication Limited,272,
1750,PRAKASHSTL,Prakash Steelage Limited,263,
1751,BKMINDST,Bkm Industries Limited,262,
1752,SUJANAUNI,Sujana Universal Industries Limited,253,
1753,SONISOYA,Soni Soya Products Limited,253,
1754,TALWGYM,Talwalkars Healthclubs Limited,248,
1755,UNITY,Unity Infraprojects Limited,242,
1756,PROSEED,Proseed India Limited,240,
1757,UMESLTD,Usha Martin Education & Solutions Limited,238,
1758,TRANSWIND,Transwind Infrastructures Limited,227,
1759,BARTRONICS,Bartronics India Limited,221,
1760,SYNCOM,Syncom Healthcare Limited,220,
1761,GRETEX,Gretex Industries Limited,219,
1762,CKFSL,Cox & Kings Financial Service Limited,219,
1763,VIJIFIN,Viji Finance Limited,206,
1764,INTEGRA,Integra Garments and Textiles Limited,200,
1765,PAEL,PAE Limited,182,
1766,SUBCAPCITY,International Constructions Limited,182,
1767,SPENTEX,Spentex Industries Limited,180,
1768,METKORE,Metkore Alloys & Industries Limited,176,
1769,RAJRAYON,Raj Rayon Industries Limited,173,
1770,GISOLUTION,GI Engineering Solutions Limited,172,
1771,NTL,Neueon Towers Limited,170,
1772,PRADIP,Pradip Overseas Limited,170,
1773,ALCHEM,Alchemist Limited,163,
1774,ORTEL,Ortel Communications Limited,148,
1775,HOTELRUGBY,Hotel Rugby Limited,143,
1776,JIKIND,JIK Industries Limited,140,
1777,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,139,
1778,LAKPRE,Lakshmi Precision Screws Limited,131,
1779,THOMASCOTT,Thomas Scott (India) Limited,125,
1780,GBGLOBAL,GB Global Limited,124,
1781,EUROCERA,Euro Ceramics Limited,118,
1782,RAMSARUP,Ramsarup Industries Limited,88,
1783,BOHRA,Bohra Industries Limited,84,
1784,EUROMULTI,Euro Multivision Limited,83,
1785,JAINSTUDIO,Jain Studios Limited,82,
1786,DCMFINSERV,DCM Financial Services Limited,75,
1787,JAIHINDPRO,Jaihind Projects Limited,73,
1788,BLUECHIP,Blue Chip India Limited,55,
1789,SABEVENTS,Sab Events & Governance Now Media Limited,47,
1790,ATNINTER,ATN International Limited,39,
1791,ASIL,Amit Spinning Industries Limited,"Not Traded as on March 31, 2020",
1792,ORCHIDPHAR,Orchid Pharma Limited,"Not Traded as on March 31, 2020",
1793,RAJOIL,Raj Oil Mills Limited,"Not Traded as on March 31, 2020",
1794,SHARONBIO,Sharon Bio-Medicine Limited,"Not Traded as on March 31, 2020",
1795,TANTIACONS,Tantia Constructions Limited,"Not Traded as on March 31, 2020"